"Probe","R_lowLM","P_lowLM","R_highLM","P_highLM","Gene"
"TC01000504.hg.1",-0.249241762621288,"Not-Significant",0.765503561078538,"Significant","CAP1"
"TC01001640.hg.1",0.549447019423219,"Not-Significant",0.794758648342526,"Significant","PTPRC"
"TC06000523.hg.1",0.0470378449970093,"Not-Significant",0.534461138990981,"Significant","MAPK14"
"TC06001971.hg.1",-0.069691607554997,"Not-Significant",0.478938293062008,"Significant","ACTG1"
"TC06001971.hg.1",-0.069691607554997,"Not-Significant",0.478938293062008,"Significant","ACTA1"
"TC07000935.hg.1",0.0498300515315932,"Not-Significant",0.479913871157519,"Significant","ZYX"
"TC07001120.hg.1",-0.101647864482708,"Not-Significant",0.638985404390917,"Significant","ACTB"
"TC07001217.hg.1",0.0134668998316778,"Not-Significant",0.526358105160802,"Significant","SKAP2"
"TC07001614.hg.1",0.219643666396812,"Not-Significant",0.471941351632162,"Significant","SGCE"
"TC07001823.hg.1",-0.144275030630875,"Not-Significant",0.566996072624334,"Significant","WASL"
"TC07002772.hg.1",-0.104966580021262,"Not-Significant",0.564783649484183,"Significant","ACTB"
"TC07002773.hg.1",-0.162281842700568,"Not-Significant",0.604663237384833,"Significant","ACTB"
"TC09000037.hg.1",0.426686284936345,"Not-Significant",0.481407932322237,"Significant","CD274"
"TC09001008.hg.1",-0.341016197965402,"Not-Significant",0.564621772076341,"Significant","B4GALT1"
"TC0X000014.hg.1",0.263320908719668,"Not-Significant",-0.461895611955175,"Significant","CD99"
"TC0X000353.hg.1",0.0424490430673936,"Not-Significant",0.822044281814282,"Significant","MSN"
"TC0X001416.hg.1",0.294359983173019,"Not-Significant",0.507651236689774,"Significant","ARHGEF6"
"TC0Y000014.hg.1",0.249559562623647,"Not-Significant",-0.485044485593619,"Significant","CD99"
"TC10000623.hg.1",0.0133471160834088,"Not-Significant",0.805790032364624,"Significant","PTEN"
"TC14001255.hg.1",0.280913764532639,"Not-Significant",0.696046944892856,"Significant","ACTN1"
"TC14002059.hg.1",0.126053872354294,"Not-Significant",0.566493566867182,"Significant","ACTN1"
"TC15001201.hg.1",-0.128894081150459,"Not-Significant",0.483153296990992,"Significant","ACTC1"
"TC17001036.hg.1",-0.117942837070352,"Not-Significant",0.508512015696797,"Significant","PFN1"
"TC17001952.hg.1",-0.0743313399368776,"Not-Significant",0.516550525676824,"Significant","ACTG1"
"TC17002747.hg.1",0.0667981243861879,"Not-Significant",0.47123759268405,"Significant","PECAM1"
"TC17002825.hg.1",-0.130031142047296,"Not-Significant",0.57711764169003,"Significant","ACTG1"
"TC19000027.hg.1",0.0956468506418882,"Not-Significant",0.762672748729945,"Significant","CNN2"
"TC19000174.hg.1",0.168910925462846,"Not-Significant",0.540517627526775,"Significant","ICAM1"
"TC19000649.hg.1",-0.0340613098623623,"Not-Significant",0.694409622627482,"Significant","VASP"
"TC19001977.hg.1",0.501911553847728,"Not-Significant",0.651876760193109,"Significant","ICAM1"
"TC20000019.hg.1",0.438303381392965,"Not-Significant",0.555288201278499,"Significant","SIRPA"
"TC22000703.hg.1",-0.243813930407961,"Not-Significant",0.595486144187039,"Significant","MYH9"
"TC22000725.hg.1",0.158538401232862,"Not-Significant",0.526966689398833,"Significant","RAC2"
