"Probe","R_lowLM","P_lowLM","R_highLM","P_highLM","Gene"
"TC01000155.hg.1",-0.0095210404517291,"Not-Significant",0.70473119672034,"Significant","TNFRSF1B"
"TC01000733.hg.1",0.534372044941026,"Not-Significant",0.593109058497247,"Significant","PDE4B"
"TC01000947.hg.1",0.24930025005827,"Not-Significant",0.575699911056925,"Significant","GNAI3"
"TC01001685.hg.1",0.150752564440131,"Not-Significant",0.751379499898128,"Significant","BTG2"
"TC01001736.hg.1",0.161087218611953,"Not-Significant",0.69921317052076,"Significant","CD55"
"TC01002008.hg.1",0.274652528953584,"Not-Significant",0.58886603739871,"Significant","NLRP3"
"TC01002512.hg.1",0.150071928358161,"Not-Significant",0.748260204041016,"Significant","CSF3R"
"TC01003500.hg.1",0.53596199401934,"Not-Significant",0.749870364785373,"Significant","SELL"
"TC01005928.hg.1",0.246560494996272,"Not-Significant",0.756931146577077,"Significant","SELL"
"TC02000623.hg.1",0.429764984399825,"Not-Significant",0.731649740881265,"Significant","IL18RAP"
"TC02000937.hg.1",0.193648540808944,"Not-Significant",0.634435385786943,"Significant","TNFAIP6"
"TC02001739.hg.1",0.0227462210609541,"Not-Significant",0.62262776643376,"Significant","EIF2AK2"
"TC02002219.hg.1",0.557178054777535,"Not-Significant",0.623011646800373,"Significant","IL1B"
"TC02002425.hg.1",-0.00530548195758652,"Not-Significant",0.562907757275162,"Significant","NMI"
"TC02004970.hg.1",-0.107527462146843,"Not-Significant",0.545208414448015,"Significant","MXD1"
"TC03001174.hg.1",-0.175635632949941,"Not-Significant",0.551691000471767,"Significant","RAF1"
"TC03001550.hg.1",0.383156341297324,"Not-Significant",0.790681126929527,"Significant","PROK2"
"TC03003211.hg.1",-0.194002115786059,"Not-Significant",0.418047263629567,"Significant","TNFSF10"
"TC04000526.hg.1",0.21397240407305,"Not-Significant",0.466935704607766,"Significant","NFKB1"
"TC05001861.hg.1",0.0816501100531816,"Not-Significant",0.431197639701988,"Significant","CD14"
"TC05002050.hg.1",0.53884600532198,"Not-Significant",0.608403963617202,"Significant","LCP2"
"TC05003348.hg.1",0.290789814428405,"Not-Significant",0.523608093185835,"Significant","LCP2"
"TC06000120.hg.1",0.168856865397838,"Not-Significant",0.465287541759974,"Significant","RNF144B"
"TC06001584.hg.1",-0.0871825263540082,"Not-Significant",0.547886248774525,"Significant","TAPBP"
"TC07000112.hg.1",0.281718501867222,"Not-Significant",0.448987639814068,"Significant","AHR"
"TC07001738.hg.1",0.441781305186772,"Not-Significant",0.771117226183615,"Significant","NAMPT"
"TC07002499.hg.1",0.350454071815183,"Not-Significant",0.424764314964158,"Significant","SERPINE1"
"TC07002911.hg.1",-0.058629540644068,"Not-Significant",-0.453199282608073,"Significant","INHBA"
"TC08000383.hg.1",0.268188504334362,"Not-Significant",0.830916163464312,"Significant","LYN"
"TC08000545.hg.1",0.472279019665195,"Not-Significant",0.474913209909078,"Significant","RIPK2"
"TC08000814.hg.1",0.0390936771566407,"Not-Significant",0.495970441334683,"Significant","LY6E"
"TC0X000171.hg.1",0.518867958256752,"Not-Significant",0.814686544096168,"Significant","CYBB"
"TC10000922.hg.1",0.184062175444312,"Not-Significant",0.76962081531214,"Significant","PTPRE"
"TC10001182.hg.1",0.515070439367638,"Not-Significant",0.759515884095392,"Significant","NAMPT"
"TC11000011.hg.1",0.108545964418856,"Not-Significant",0.501431009420197,"Significant","IFITM1"
"TC11000182.hg.1",-0.296218983329074,"Not-Significant",0.628239987327864,"Significant","ADM"
"TC11001304.hg.1",-0.000569815492270118,"Not-Significant",0.48026735306609,"Significant","RHOG"
"TC11001939.hg.1",-0.0524650270939771,"Not-Significant",0.581310131332909,"Significant","RELA"
"TC11003206.hg.1",-0.0228860130932559,"Not-Significant",0.420472885097101,"Significant","RELA"
"TC11003207.hg.1",-0.145743597101435,"Not-Significant",0.575505995921835,"Significant","RELA"
"TC12001207.hg.1",0.434607109682718,"Not-Significant",0.439183700381547,"Significant","CD69"
"TC12001216.hg.1",0.487382460412505,"Not-Significant",0.470387664000491,"Significant","OLR1"
"TC12001798.hg.1",-0.150745647401692,"Not-Significant",0.621998177842321,"Significant","ATP2B1"
"TC14000439.hg.1",-0.160599225971948,"Not-Significant",0.492076593581225,"Significant","PSEN1"
"TC14001036.hg.1",0.073177661678157,"Not-Significant",0.624303214537963,"Significant","NFKBIA"
"TC14002197.hg.1",0.260548297882358,"Not-Significant",0.803487574053171,"Significant","HIF1A"
"TC15000441.hg.1",0.464491758005773,"Not-Significant",0.780152461323668,"Significant","AQP9"
"TC16000293.hg.1",0.0027548969320797,"Not-Significant",0.641898361268541,"Significant","IL4R"
"TC16000812.hg.1",0.331845695480725,"Not-Significant",0.717016390185083,"Significant","MEFV"
"TC19000174.hg.1",0.168910925462846,"Not-Significant",0.540517627526775,"Significant","ICAM1"
"TC19000470.hg.1",0.306430088265237,"Not-Significant",0.69377280692262,"Significant","FFAR2"
"TC19000676.hg.1",0.220579544368747,"Not-Significant",0.874147176630321,"Significant","C5AR1"
"TC19001593.hg.1",-0.200518105681066,"Not-Significant",0.454703483963328,"Significant","PLAUR"
"TC19001787.hg.1",0.119933085341095,"Not-Significant",0.583357079861031,"Significant","FPR1"
"TC19001977.hg.1",0.501911553847728,"Not-Significant",0.651876760193109,"Significant","ICAM1"
"TC21000128.hg.1",-0.152010898504515,"Not-Significant",0.777449046910756,"Significant","IFNAR1"
"TC21000129.hg.1",-0.221082514245098,"Not-Significant",0.792570332942511,"Significant","IFNGR2"
"TC22000648.hg.1",0.246912769574738,"Not-Significant",0.477364808664519,"Significant","OSM"
"TC6_cox_hap2000208.hg.1",-0.0444432869529471,"Not-Significant",0.422664889871651,"Significant","TAPBP"
"TC6_dbb_hap3000194.hg.1",-0.0444432869529471,"Not-Significant",0.422664889871651,"Significant","TAPBP"
