"Probe","R_lowLM","P_lowLM","R_highLM","P_highLM","Gene"
"TC01001727.hg.1",-0.256327194839102,"Not-Significant",0.689801717300879,"Significant","MAPKAPK2"
"TC01003260.hg.1",0.0893400151311797,"Not-Significant",0.717509775211036,"Significant","S100A12"
"TC01004921.hg.1",-0.0185073407913824,"Not-Significant",0.606949201770768,"Significant","RPS27A"
"TC02000321.hg.1",-0.05166686492567,"Not-Significant",0.493338993153556,"Significant","RPS27A"
"TC02001229.hg.1",0.145813348399121,"Not-Significant",0.519074073655794,"Significant","CREB1"
"TC02001911.hg.1",0.0195583914959648,"Not-Significant",0.741230034097258,"Significant","PELI1"
"TC03000120.hg.1",0.225929523015753,"Not-Significant",0.47374718565837,"Significant","HMGB1"
"TC03000187.hg.1",-0.2783105640857,"Not-Significant",0.664867157828917,"Significant","MYD88"
"TC03002252.hg.1",0.18012568402282,"Not-Significant",0.494870802225814,"Significant","HMGB1"
"TC04002917.hg.1",0.080655334356742,"Not-Significant",0.515966676042249,"Significant","TLR6"
"TC05000243.hg.1",0.101803862377344,"Not-Significant",0.73198118546075,"Significant","MAP3K1"
"TC05001861.hg.1",0.0816501100531816,"Not-Significant",0.431197639701988,"Significant","CD14"
"TC05003406.hg.1",-0.205011988210092,"Not-Significant",0.435012706459769,"Significant","PPP2CA"
"TC06000523.hg.1",0.0470378449970093,"Not-Significant",0.534461138990981,"Significant","MAPK14"
"TC06002463.hg.1",-0.200644609878808,"Not-Significant",0.596916389815369,"Significant","RIPK1"
"TC08000487.hg.1",0.436626290579098,"Not-Significant",0.395267326148026,"Significant","LY96"
"TC08000545.hg.1",0.472279019665195,"Not-Significant",0.474913209909078,"Significant","RIPK2"
"TC08001111.hg.1",-0.33120054961221,"Not-Significant",0.742115433804913,"Significant","PPP2CB"
"TC09002219.hg.1",0.438193446291041,"Not-Significant",0.641868655648468,"Significant","TLR4"
"TC0X000911.hg.1",-0.019287085289281,"Not-Significant",0.637816220891152,"Significant","RPS6KA3"
"TC11001939.hg.1",-0.0524650270939771,"Not-Significant",0.581310131332909,"Significant","RELA"
"TC11003206.hg.1",-0.0228860130932559,"Not-Significant",0.420472885097101,"Significant","RELA"
"TC11003207.hg.1",-0.145743597101435,"Not-Significant",0.575505995921835,"Significant","RELA"
"TC12000325.hg.1",0.222059917925924,"Not-Significant",0.535986531795477,"Significant","IRAK4"
"TC12000591.hg.1",0.0373634822352551,"Not-Significant",0.769501287146662,"Significant","IRAK3"
"TC12001796.hg.1",-0.405160179640277,"Not-Significant",0.60822376401361,"Significant","DUSP6"
"TC13001407.hg.1",0.0875497958947749,"Not-Significant",0.51799506424763,"Significant","HMGB1"
"TC14000471.hg.1",-0.0521466962134692,"Not-Significant",0.547298217764258,"Significant","FOS"
"TC14001036.hg.1",0.073177661678157,"Not-Significant",0.624303214537963,"Significant","NFKBIA"
"TC15000955.hg.1",0.222580931065823,"Not-Significant",0.508627110454493,"Significant","MEF2A"
"TC15002404.hg.1",0.174594582645317,"Not-Significant",0.45391282813461,"Significant","MEF2A"
"TC17000155.hg.1",-0.114719497556769,"Not-Significant",0.670186339386877,"Significant","MAP2K4"
"TC17000297.hg.1",-0.302630474145686,"Not-Significant",0.42754079491138,"Significant","MAP2K3"
"TC17000807.hg.1",0.157969873520843,"Not-Significant",0.433170849294427,"Significant","MAP2K6"
"TC19000360.hg.1",-0.0135176609711628,"Not-Significant",0.491972437782087,"Significant","UBA52"
"TC19000534.hg.1",-0.119547805737205,"Not-Significant",-0.43632703162124,"Significant","NFKBIB"
"TC22000547.hg.1",0.189962830451672,"Not-Significant",0.70151036436622,"Significant","MAPK1"
