"Probe","R_lowLM","P_lowLM","R_highLM","P_highLM","Gene"
"TC01000733.hg.1",0.534372044941026,"Not-Significant",0.593109058497247,"Significant","PDE4B"
"TC01001685.hg.1",0.150752564440131,"Not-Significant",0.751379499898128,"Significant","BTG2"
"TC01001749.hg.1",0.494844666555721,"Not-Significant",0.678630034819919,"Significant","G0S2"
"TC01002478.hg.1",0.0871229506625125,"Not-Significant",0.825794374972375,"Significant","RNF19B"
"TC01003205.hg.1",-0.122928109349769,"Not-Significant",0.551133787362255,"Significant","MCL1"
"TC01003638.hg.1",0.530486130112569,"Not-Significant",0.757631684216787,"Significant","PTGS2"
"TC01004998.hg.1",0.454941135997258,"Not-Significant",0.691094571878322,"Significant","G0S2"
"TC01005816.hg.1",-0.255500430033463,"Not-Significant",0.817972377723872,"Significant","MCL1"
"TC02000183.hg.1",-0.106372107624376,"Not-Significant",0.428487689816462,"Significant","FOSL2"
"TC02000348.hg.1",0.0948624750865621,"Not-Significant",0.575643218958183,"Significant","REL"
"TC02000398.hg.1",0.460389636742484,"Not-Significant",0.579004790404961,"Significant","PLEK"
"TC02000937.hg.1",0.193648540808944,"Not-Significant",0.634435385786943,"Significant","TNFAIP6"
"TC02002219.hg.1",0.557178054777535,"Not-Significant",0.623011646800373,"Significant","IL1B"
"TC02002445.hg.1",0.159426454820893,"Not-Significant",0.417787362543974,"Significant","NR4A2"
"TC02003765.hg.1",0.0582134889114485,"Not-Significant",0.513353078217529,"Significant","CFLAR"
"TC02004970.hg.1",-0.107527462146843,"Not-Significant",0.545208414448015,"Significant","MXD1"
"TC02005045.hg.1",0.374120978302888,"Not-Significant",0.667245052187975,"Significant","NFE2L2"
"TC03000015.hg.1",0.108108476668286,"Not-Significant",0.466991982559751,"Significant","BHLHE40"
"TC03002096.hg.1",0.163670276769085,"Not-Significant",0.438409292114057,"Significant","BCL6"
"TC04000411.hg.1",0.100134523246033,"Not-Significant",0.482174506152853,"Significant","CXCL1"
"TC04000526.hg.1",0.21397240407305,"Not-Significant",0.466935704607766,"Significant","NFKB1"
"TC04002952.hg.1",-0.0996906245771274,"Not-Significant",0.38408413686592,"Significant","AREG"
"TC05000701.hg.1",0.190560577683419,"Not-Significant",0.628916784175014,"Significant","EGR1"
"TC05001946.hg.1",-0.327795222334202,"Not-Significant",0.643545224377174,"Significant","TNIP1"
"TC05002066.hg.1",0.231255212038085,"Not-Significant",0.411170736146661,"Significant","DUSP1"
"TC06000795.hg.1",0.231179293844369,"Not-Significant",0.692213540614103,"Significant","PNRC1"
"TC06000909.hg.1",0.0781440940534636,"Not-Significant",0.607703298062,"Significant","MARCKS"
"TC06001027.hg.1",0.0495804565593014,"Not-Significant",0.667704278258245,"Significant","TNFAIP3"
"TC06001510.hg.1",-0.255656451225732,"Not-Significant",0.413314795423244,"Significant","IER3"
"TC06001574.hg.1",-0.265031396839909,"Not-Significant",0.649892530038511,"Significant","TAP1"
"TC06002126.hg.1",-0.0120298367460361,"Not-Significant",0.554575438316953,"Significant","SGK1"
"TC06003006.hg.1",-0.094595361866306,"Not-Significant",0.639587195946147,"Significant","MARCKS"
"TC06003084.hg.1",0.0330954058863831,"Not-Significant",0.595256156624986,"Significant","TNFAIP3"
"TC06004141.hg.1",0.427547572549819,"Not-Significant",0.742857759645265,"Significant","SOD2"
"TC07001738.hg.1",0.441781305186772,"Not-Significant",0.771117226183615,"Significant","NAMPT"
"TC07002499.hg.1",0.350454071815183,"Not-Significant",0.424764314964158,"Significant","SERPINE1"
"TC07002911.hg.1",-0.058629540644068,"Not-Significant",-0.453199282608073,"Significant","INHBA"
"TC08000545.hg.1",0.472279019665195,"Not-Significant",0.474913209909078,"Significant","RIPK2"
"TC08000733.hg.1",0.0197475547306998,"Not-Significant",0.582613228613331,"Significant","TRIB1"
"TC08001044.hg.1",0.108880833722856,"Not-Significant",0.440527939637041,"Significant","EGR3"
"TC08002253.hg.1",0.321170377344413,"Not-Significant",0.565984193334951,"Significant","EGR3"
"TC09000508.hg.1",-0.182424979085879,"Not-Significant",0.593581736600453,"Significant","NR4A3"
"TC09000999.hg.1",0.201301887064534,"Not-Significant",0.494460182647494,"Significant","DDX58"
"TC09001008.hg.1",-0.341016197965402,"Not-Significant",0.564621772076341,"Significant","B4GALT1"
"TC09001325.hg.1",0.335825635575242,"Not-Significant",0.596539872348674,"Significant","NFIL3"
