"Gene","Group"
"ADD1","HALLMARK_APOPTOSIS"
"AIFM3","HALLMARK_APOPTOSIS"
"ANKH","HALLMARK_APOPTOSIS"
"ANXA1","HALLMARK_APOPTOSIS"
"APP","HALLMARK_APOPTOSIS"
"ATF3","HALLMARK_APOPTOSIS"
"AVPR1A","HALLMARK_APOPTOSIS"
"BAX","HALLMARK_APOPTOSIS"
"BCAP31","HALLMARK_APOPTOSIS"
"BCL10","HALLMARK_APOPTOSIS"
"BCL2L1","HALLMARK_APOPTOSIS"
"BCL2L10","HALLMARK_APOPTOSIS"
"BCL2L11","HALLMARK_APOPTOSIS"
"BCL2L2","HALLMARK_APOPTOSIS"
"BGN","HALLMARK_APOPTOSIS"
"BID","HALLMARK_APOPTOSIS"
"BIK","HALLMARK_APOPTOSIS"
"BIRC3","HALLMARK_APOPTOSIS"
"BMF","HALLMARK_APOPTOSIS"
"BMP2","HALLMARK_APOPTOSIS"
"BNIP3L","HALLMARK_APOPTOSIS"
"BRCA1","HALLMARK_APOPTOSIS"
"BTG2","HALLMARK_APOPTOSIS"
"BTG3","HALLMARK_APOPTOSIS"
"CASP1","HALLMARK_APOPTOSIS"
"CASP2","HALLMARK_APOPTOSIS"
"CASP3","HALLMARK_APOPTOSIS"
"CASP4","HALLMARK_APOPTOSIS"
"CASP6","HALLMARK_APOPTOSIS"
"CASP7","HALLMARK_APOPTOSIS"
"CASP8","HALLMARK_APOPTOSIS"
"CASP9","HALLMARK_APOPTOSIS"
"CAV1","HALLMARK_APOPTOSIS"
"CCNA1","HALLMARK_APOPTOSIS"
"CCND1","HALLMARK_APOPTOSIS"
"CCND2","HALLMARK_APOPTOSIS"
"CD14","HALLMARK_APOPTOSIS"
"CD2","HALLMARK_APOPTOSIS"
"CD38","HALLMARK_APOPTOSIS"
"CD44","HALLMARK_APOPTOSIS"
"CD69","HALLMARK_APOPTOSIS"
"CDC25B","HALLMARK_APOPTOSIS"
"CDK2","HALLMARK_APOPTOSIS"
"CDKN1A","HALLMARK_APOPTOSIS"
"CDKN1B","HALLMARK_APOPTOSIS"
"CFLAR","HALLMARK_APOPTOSIS"
"CLU","HALLMARK_APOPTOSIS"
"CREBBP","HALLMARK_APOPTOSIS"
"CTH","HALLMARK_APOPTOSIS"
"CTNNB1","HALLMARK_APOPTOSIS"
"CYLD","HALLMARK_APOPTOSIS"
"DAP","HALLMARK_APOPTOSIS"
"DAP3","HALLMARK_APOPTOSIS"
"DCN","HALLMARK_APOPTOSIS"
"DDIT3","HALLMARK_APOPTOSIS"
"DFFA","HALLMARK_APOPTOSIS"
"DIABLO","HALLMARK_APOPTOSIS"
"DNAJA1","HALLMARK_APOPTOSIS"
"DNAJC3","HALLMARK_APOPTOSIS"
"DNM1L","HALLMARK_APOPTOSIS"
"DPYD","HALLMARK_APOPTOSIS"
"EBP","HALLMARK_APOPTOSIS"
"EGR3","HALLMARK_APOPTOSIS"
"EMP1","HALLMARK_APOPTOSIS"
"ENO2","HALLMARK_APOPTOSIS"
"ERBB2","HALLMARK_APOPTOSIS"
"ERBB3","HALLMARK_APOPTOSIS"
"EREG","HALLMARK_APOPTOSIS"
"ETF1","HALLMARK_APOPTOSIS"
"F2","HALLMARK_APOPTOSIS"
"F2R","HALLMARK_APOPTOSIS"
"FAS","HALLMARK_APOPTOSIS"
"FASLG","HALLMARK_APOPTOSIS"
"FDXR","HALLMARK_APOPTOSIS"
"FEZ1","HALLMARK_APOPTOSIS"
"GADD45A","HALLMARK_APOPTOSIS"
"GADD45B","HALLMARK_APOPTOSIS"
"GCH1","HALLMARK_APOPTOSIS"
"GNA15","HALLMARK_APOPTOSIS"
"GPX1","HALLMARK_APOPTOSIS"
"GPX3","HALLMARK_APOPTOSIS"
"GPX4","HALLMARK_APOPTOSIS"
"GSN","HALLMARK_APOPTOSIS"
"GSR","HALLMARK_APOPTOSIS"
"GSTM1","HALLMARK_APOPTOSIS"
"GUCY2D","HALLMARK_APOPTOSIS"
"H1F0","HALLMARK_APOPTOSIS"
"HGF","HALLMARK_APOPTOSIS"
"HMGB2","HALLMARK_APOPTOSIS"
"HMOX1","HALLMARK_APOPTOSIS"
"HSPB1","HALLMARK_APOPTOSIS"
"IER3","HALLMARK_APOPTOSIS"
"IFITM3","HALLMARK_APOPTOSIS"
"IFNB1","HALLMARK_APOPTOSIS"
"IFNGR1","HALLMARK_APOPTOSIS"
"IGF2R","HALLMARK_APOPTOSIS"
"IGFBP6","HALLMARK_APOPTOSIS"
"IL18","HALLMARK_APOPTOSIS"
"IL1A","HALLMARK_APOPTOSIS"
"IL1B","HALLMARK_APOPTOSIS"
"IL6","HALLMARK_APOPTOSIS"
"IRF1","HALLMARK_APOPTOSIS"
"ISG20","HALLMARK_APOPTOSIS"
"JUN","HALLMARK_APOPTOSIS"
"KRT18","HALLMARK_APOPTOSIS"
"LEF1","HALLMARK_APOPTOSIS"
"LGALS3","HALLMARK_APOPTOSIS"
"LMNA","HALLMARK_APOPTOSIS"
"LPPR4","HALLMARK_APOPTOSIS"
"LUM","HALLMARK_APOPTOSIS"
"MADD","HALLMARK_APOPTOSIS"
"MCL1","HALLMARK_APOPTOSIS"
"MGMT","HALLMARK_APOPTOSIS"
"MMP2","HALLMARK_APOPTOSIS"
"NEDD9","HALLMARK_APOPTOSIS"
"NEFH","HALLMARK_APOPTOSIS"
"PAK1","HALLMARK_APOPTOSIS"
"PDCD4","HALLMARK_APOPTOSIS"
"PDGFRB","HALLMARK_APOPTOSIS"
"PEA15","HALLMARK_APOPTOSIS"
"PLAT","HALLMARK_APOPTOSIS"
"PLCB2","HALLMARK_APOPTOSIS"
"PMAIP1","HALLMARK_APOPTOSIS"
"PPP2R5B","HALLMARK_APOPTOSIS"
"PPP3R1","HALLMARK_APOPTOSIS"
"PPT1","HALLMARK_APOPTOSIS"
"PRF1","HALLMARK_APOPTOSIS"
"PSEN1","HALLMARK_APOPTOSIS"
"PSEN2","HALLMARK_APOPTOSIS"
"PTK2","HALLMARK_APOPTOSIS"
"RARA","HALLMARK_APOPTOSIS"
"RELA","HALLMARK_APOPTOSIS"
"RETSAT","HALLMARK_APOPTOSIS"
"RHOB","HALLMARK_APOPTOSIS"
"RHOT2","HALLMARK_APOPTOSIS"
"RNASEL","HALLMARK_APOPTOSIS"
"ROCK1","HALLMARK_APOPTOSIS"
"SAT1","HALLMARK_APOPTOSIS"
"SATB1","HALLMARK_APOPTOSIS"
"SC5DL","HALLMARK_APOPTOSIS"
"SLC20A1","HALLMARK_APOPTOSIS"
"SMAD7","HALLMARK_APOPTOSIS"
"SOD1","HALLMARK_APOPTOSIS"
"SOD2","HALLMARK_APOPTOSIS"
"SPTAN1","HALLMARK_APOPTOSIS"
"SQSTM1","HALLMARK_APOPTOSIS"
"TAP1","HALLMARK_APOPTOSIS"
"TGFB2","HALLMARK_APOPTOSIS"
"TGFBR3","HALLMARK_APOPTOSIS"
"TIMP1","HALLMARK_APOPTOSIS"
"TIMP2","HALLMARK_APOPTOSIS"
"TIMP3","HALLMARK_APOPTOSIS"
"TNF","HALLMARK_APOPTOSIS"
"TNFRSF12A","HALLMARK_APOPTOSIS"
"TNFSF10","HALLMARK_APOPTOSIS"
"TOP2A","HALLMARK_APOPTOSIS"
"TSPO","HALLMARK_APOPTOSIS"
"TXNIP","HALLMARK_APOPTOSIS"
"VDAC2","HALLMARK_APOPTOSIS"
"WEE1","HALLMARK_APOPTOSIS"
"XIAP","HALLMARK_APOPTOSIS"
