"","Gene","Probe","Group"
"1","ABCA1","TC09001434.hg.1","HALLMARK_INFLAMMATORY_RESPONSE"
"2","BDKRB1","TC14001832.hg.1","HALLMARK_INFLAMMATORY_RESPONSE"
"3","C5AR1","TC19000676.hg.1","HALLMARK_INFLAMMATORY_RESPONSE"
"4","EREG","TC04000414.hg.1","HALLMARK_INFLAMMATORY_RESPONSE"
"5","FPR1","TC19001787.hg.1","HALLMARK_INFLAMMATORY_RESPONSE"
"6","IL15","TC04000693.hg.1","HALLMARK_INFLAMMATORY_RESPONSE"
"7","IL18RAP","TC02000623.hg.1","HALLMARK_INFLAMMATORY_RESPONSE"
"8","LTA","TC6_dbb_hap3000057.hg.1","HALLMARK_INFLAMMATORY_RESPONSE"
"9","SLC11A2","TC12002877.hg.1","HALLMARK_INFLAMMATORY_RESPONSE"
"10","TACR3","TC04002656.hg.1","HALLMARK_INFLAMMATORY_RESPONSE"
